Data ID,Classification,Confidence Score,Detailed Justification
D3853,Malicious,0.88,"Malicious classification: high sandbox scores (0.44 behavioral, 0.86 exfiltration), executable processes (outlook.exe), high reply path reputation issues (0.62), legal threat request type, authentication failures indicate sophisticated BEC attack"
D3854,Malicious,0.89,"Strong malicious indicators: suspicious attachment metadata (0.09), elevated sandbox and exfiltration scores, high-risk role targeting, executable processes (acrobat.exe), link click request, high reply path reputation issues (0.89), self-signed certificate"
D3855,Warning,0.73,"Requires attention: bank detail update request (high-risk BEC type), moderate content spam score (0.41), high reply path reputation score (0.91), self-signed SSL certificate, combination warrants monitoring despite other benign indicators"
D3856,Malicious,0.85,"Malicious classification: high suspicious attachment metadata (0.49), elevated sandbox execution time (75.55), multiple processes (winword.exe, powershell.exe), VPN/MFA reset request, final URL known malicious, high URL reputation score (0.63)"
D3857,Malicious,0.86,"High-threat indicators: DMARC enforced but suspicious attachment behavior, elevated sandbox scores (0.26 behavioral), long sandbox execution (41.89), wire transfer request, authentication failures despite enforcement suggest sophisticated bypass attempt"
D3858,Malicious,0.90,"Strong malicious classification: suspicious attachment metadata (0.19), elevated sandbox scores, reply path known malicious, executable processes (winword.exe), document download request, revoked SSL certificate, multiple threat vectors"
D3859,Warning,0.72,"Moderate risk: DMARC enforced but no malicious content, high site visual similarity (0.82), authentication inconsistencies warrant monitoring despite other protective measures"
D3860,Warning,0.68,"Requires attention: sensitive data request type, high site visual similarity to brands (0.79), weak TLS version (1.0), failed authentication, potential social engineering attempt despite minimal other indicators"
D3861,Malicious,0.95,"High-confidence malicious: DMARC enforced, high suspicious attachment metadata (0.53), exploit pattern detected, high exfiltration behavior (0.89), embedded files (2), executable processes (winword.exe), meeting request, QR code analysis positive"
D3862,Malicious,0.91,"Strong malicious indicators: high sender domain reputation issues (0.40), malicious attachment count (1), elevated AMSI score (0.45), high exfiltration behavior (0.98), executable processes (winword.exe), self-signed certificate"
D3863,No Action,0.94,"Benign characteristics: minimal threat indicators, no malicious content, no suspicious behaviors, proper authentication, secure connection, no actionable requests - legitimate email communication"
D3864,Malicious,0.84,"Malicious classification: sender spoofing detected, suspicious attachment metadata (0.10), high SMTP IP geo risk (0.72), legal threat request type, authentication failures, self-signed certificate indicate BEC attempt"
D3865,Malicious,0.93,"High-threat malicious: suspicious attachment behavior, total IOC count (7), elevated sandbox scores (0.08 behavioral), link click request, failed authentication across multiple protocols (SPF/DKIM/DMARC), high URL reputation score (0.22)"
D3866,Warning,0.71,"Moderate risk: high sender domain reputation issues (0.57), bank detail update request (BEC indicator), moderate content spam score (0.32), expired SSL certificate, requires monitoring due to financial request type"
D3867,Malicious,0.92,"Strong malicious classification: high sender domain reputation issues (0.37), high sandbox scores (0.43 behavioral, 0.83 exfiltration), long execution time (65.28), multiple processes (winword.exe, powershell.exe), VPN/MFA reset request, expired SSL"
D3868,Malicious,0.96,"High-confidence malicious: high sender temp email likelihood (0.39), very high suspicious attachment metadata (0.31), maximum sandbox scores (0.96 behavioral, 0.52 exfiltration), wire transfer request, failed DMARC, high visual brand similarity (0.20)"
D3869,Malicious,0.88,"Malicious classification: high sender domain reputation issues (0.11), suspicious attachment metadata (0.16), embedded file (1), long execution time (6.16), document download request, high URL reputation and site similarity scores"
D3870,Warning,0.69,"Moderate risk: high sender domain reputation issues (0.06), high SMTP IP geo risk (0.87), self-signed SSL certificate, site visual similarity concerns require monitoring despite other benign indicators"
D3871,Warning,0.74,"Requires attention: high sender temp email likelihood (0.44), high SMTP IP ASN risk, image-only email, sensitive data request type, failed DMARC, combination warrants caution despite other benign signals"
D3872,Malicious,0.85,"Malicious indicators: high sender domain reputation issues (0.22), elevated sandbox execution time (6.13), high SMTP IP geo risk (0.23), meeting request type, failed DMARC, self-signed certificate suggest threat activity"
D3873,Malicious,0.82,"Malicious classification: elevated AMSI score (0.51), high exfiltration behavior (0.70), executable processes (winword.exe), high content spam score (0.21), self-signed certificate, consistent malicious pattern"
D3874,Warning,0.76,"Moderate risk: high sender domain reputation issues (0.12), QR code analysis positive, potential visual similarity concerns, weak authentication results warrant monitoring despite other benign characteristics"
D3875,Malicious,0.86,"Malicious classification: macro-enabled document present, high reply path reputation issues (0.71), elevated sandbox scores, legal threat request type, high URL reputation score (0.23), authentication failures"
D3876,Malicious,0.87,"Strong malicious indicators: high sender temp email likelihood (0.25), URL presence (1), high exfiltration behavior (0.26), link click request, failed authentication, high site visual similarity (0.92) indicating sophisticated phishing"
D3877,Warning,0.77,"Requires monitoring: high sender temp email likelihood (0.52), URL presence (2), bank detail update request (BEC risk), final URL known malicious, expired SSL certificate, financial request warrants caution"
D3878,Malicious,0.93,"High-confidence malicious: high suspicious attachment metadata (0.30), high IOC count (8), reply path known malicious, elevated exfiltration behavior (0.76), multiple processes (winword.exe, powershell.exe), VPN/MFA reset request"
D3879,Malicious,0.91,"Strong malicious classification: high suspicious attachment metadata (0.79), elevated sandbox scores, image-only email, high exfiltration behavior, wire transfer request, high sender VIP similarity (0.52) indicating impersonation"
D3880,Malicious,0.89,"Malicious indicators: suspicious attachment metadata (0.03), unscannable attachment present, elevated sandbox scores (0.27 behavioral, 0.68 exfiltration), document download request, high site visual similarity (0.23)"
D3881,Warning,0.71,"Moderate risk: high sender temp email likelihood (0.96), high return path reputation issues (0.72), sensitive data request type, certificate mismatch, high site visual similarity (0.78) warrant monitoring"
D3882,Warning,0.70,"Requires attention: high sender temp email likelihood (0.96), failed authentication (SPF), certificate mismatch, high site visual similarity (0.32), combination of identity and authentication issues warrant caution"
