Data ID,Classification,Confidence Score,Detailed Justification
D3623,No Action,0.81,Clean email with domain known malicious flag but extremely low threat scores. Likely false positive given clean profile.
D3624,No Action,0.77,Sensitive data request with minimal risk indicators beyond request type. SMTP IP reputation moderate but no malicious behaviors.
D3625,Malicious,0.94,Meeting request with very high metadata score (0.75) high exfiltration score (0.67) self-signed certificate site similarity high (0.65). Sophisticated phishing.
D3626,Malicious,0.85,Email with macro-enabled document high sender reputation (0.57) high exfiltration score (0.56) self-signed certificate. Document-based malware.
D3627,No Action,0.83,Very clean email with unsubscribe link and QR code but minimal threat scores. Likely legitimate marketing email.
D3628,Malicious,0.92,Legal threat scam with high metadata score (0.49) high behavioral score (0.41) very high exfiltration score (0.88) YARA match. Advanced phishing attack.
D3629,Malicious,0.87,Link click phishing with high metadata score (0.28) high AMSI score (0.41) expired certificate domain known malicious. Clear phishing attempt.
D3630,Spam,0.84,Bank detail update with high temp email likelihood (0.53) SMTP IP reputation very high (0.85) high content spam score (0.64). Spam bank scam pattern.
D3631,Malicious,0.95,VPN/MFA reset attack with very high metadata score (0.81) high AMSI score (0.60) extremely high exfiltration score (0.98). Critical credential theft attempt.
D3632,Malicious,0.90,Wire transfer fraud with high behavioral sandbox score (0.68) YARA matches SMTP IP reputation high (0.70). Classic BEC wire transfer scam.
