Data ID,Classification,Confidence Score,Detailed Justification
D4099,No Action,0.84,Bank detail update with clean profile and valid SSL. Passing SPF with QR code analysis showing non-malicious indicates legitimate transaction.
D4100,No Action,0.78,Invoice verification with softfail SPF but clean attachments. Valid SSL with low risk scores suggests legitimate business communication.
D4101,No Action,0.85,Clean behavioral profile with HTML/text ratio detected. Valid SSL and passing SPF/DMARC confirms legitimate marketing email.
D4102,Spam,0.81,Bank detail update with high SMTP geo-risk (0.685). Failed SPF with DMARC temperror indicates financial spam attempt.
D4103,Warning,0.79,Gift card request with multiple process executions and two YARA matches. Valid SSL but moderate scores warrant careful monitoring.
D4104,Malicious,0.92,Extreme metadata score (0.787) with network call on open detected. Multiple suspicious processes with failed DMARC confirms advanced malware.
D4105,Malicious,0.86,High temporary email (0.712) with extreme exfiltration score (0.882). Failed DKIM/DMARC with Acrobat execution confirms phishing attack.
D4106,No Action,0.75,Failed authentication but clean behavioral profile. Bulk message indicator with valid SSL suggests marketing email with poor configuration.
D4107,Warning,0.71,Urgent callback with self-signed SSL and two URLs. Low risk scores but urgency keywords warrant verification of sender legitimacy.
D4108,No Action,0.77,Clean profile with three URLs detected. Valid SSL with urgency keywords but passing SPF suggests legitimate urgent communication.
D4109,Malicious,0.89,Return path and reply path known malicious with extreme exfiltration score (0.877). PowerShell execution with expired SSL confirms credential harvesting.
D4110,Warning,0.72,Four URLs with self-signed SSL certificate. Clean behavioral scores but infrastructure concerns warrant caution.
D4111,No Action,0.74,Expired SSL with high SMTP geo-risk (0.700) but clean attachments. Passing SPF with no behavioral concerns suggests outdated infrastructure.
D4112,Spam,0.80,Gift card request with extreme URL reputation (0.917). Valid SSL but QR code detected with softfail SPF indicates promotional spam.
D4113,No Action,0.76,Bank detail update with reply path difference but clean profile. Valid SSL with softfail SPF suggests configuration issues rather than threat.
D4114,No Action,0.79,Clean behavioral profile with valid SSL. Passing SPF with DMARC temperror indicates email system configuration problems.
D4115,Malicious,0.85,Malicious file hash detected with high temporary email (0.694). Four embedded files with Acrobat execution confirms malware distribution.
D4116,Malicious,0.93,Unscannable attachment with extreme exfiltration score (0.992). Multiple suspicious processes with expired SSL confirms advanced persistent threat.
D4117,Malicious,0.96,Known malicious sender with sender spoofing detected. AMSI score (0.767) with revoked SSL and URL decoded spoof confirms sophisticated attack.
D4118,Malicious,0.94,Extreme metadata score (0.923) with return path mismatch. Wire transfer request with expired SSL and multiple processes confirms BEC attempt.
D4119,No Action,0.73,Invoice verification with two URLs but clean profile. Expired SSL with failed SPF appears to be outdated system rather than threat.
D4120,Malicious,0.90,High temporary email (0.810) with extreme metadata score (0.537). Wire transfer request with PowerShell execution confirms financial fraud.
D4121,Malicious,0.88,High return path reputation issues (0.637) with self-signed SSL. Invoice payment request with multiple processes indicates payment fraud.
D4122,Warning,0.76,Multiple suspicious processes including mshta and wscript. Self-signed SSL with urgent callback but moderate scores suggest monitoring needed.
D4123,Warning,0.74,VPN/MFA reset with PowerShell execution but low behavioral scores. Failed SPF with valid SSL warrants verification of legitimacy.
D4124,No Action,0.80,Clean profile with valid SSL and passing authentication. Low risk scores across all indicators confirm legitimate communication.
D4125,Malicious,0.87,Known malicious sender with high temporary email (0.526). Return path reputation issues (0.708) with suspicious processes confirm attack.
D4126,Malicious,0.91,IOC detected with extreme reply path reputation (0.941). Multiple suspicious processes with URL reputation issues confirms malware campaign.
D4127,No Action,0.77,Legal threat with four URLs but clean behavioral profile. Valid SSL with passing SPF suggests legitimate legal communication.
D4128,Malicious,0.82,Known malicious sender with document download request. Despite minimal other indicators, sender reputation alone confirms threat actor activity.
D4129,Warning,0.80,Six URLs detected with gift card request. Failed SPF but valid SSL and moderate scores suggest potentially unwanted rather than malicious.
D4130,Malicious,0.89,High exfiltration score (0.801) with multiple suspicious processes. Self-signed SSL with failed authentication trinity confirms advanced attack.
D4131,Warning,0.72,High sender reputation (0.745) but SMTP IP known malicious. Failed authentication with urgent callback warrants investigation.
D4132,Malicious,0.92,Sender spoofing with extreme exfiltration score (0.684). Four YARA matches with failed authentication confirms sophisticated malware.
