Data ID,Classification,Confidence Score,Detailed Justification
D3451,Malicious,0.93,Invoice verification with multiple severe indicators: high metadata score (0.48) network call on open detected moderate exfiltration (0.15) exploit pattern detected and suspicious processes. Clear malware delivery attempt.
D3452,Spam,0.82,Sender known malicious with high SMTP IP geo risk (0.53). While no malicious files detected the known bad sender and poor reputation indicate spam campaign.
D3453,Malicious,0.95,Gift card request scam with severe indicators: high temp email likelihood (0.70) very high exfiltration score (0.79) YARA rule matches and high AMSI score (0.79). Classic BEC gift card scam.
D3454,Spam,0.78,Email with moderate sender reputation issues expired SSL certificate and URL redirect detected. Pattern suggests spam campaign rather than targeted attack.
D3455,Malicious,0.91,Credential request with critical red flags: high temp email likelihood (0.78) very high exfiltration score (0.87) exploit pattern detected and self-signed certificate. Credential harvesting attempt.
D3456,Malicious,0.89,Email with significant threats: high metadata score (0.38) moderate behavioral score (0.11) exploit pattern detected and failed authentication. Two embedded files suggest multi-stage attack.
D3457,No Action,0.85,Meeting request appears mostly legitimate despite expired SSL certificate. Very low threat scores no malicious files detected and four URLs all clean. Certificate issue likely misconfiguration.
D3458,Malicious,0.87,Email with concerning indicators: DMARC enforced failure malicious attachment detected YARA rule matches and high exfiltration score (0.49). Compromised sender attempting malware delivery.
D3459,Spam,0.80,High temp email likelihood (0.75) with poor sender reputation and four URLs detected. DMARC temperror and overall pattern suggest spam campaign rather than targeted attack.
D3460,Spam,0.83,Link click request with very high temp email likelihood (0.84) and poor reputation scores. Three URLs detected pattern indicates spam/phishing campaign.
D3461,Malicious,0.86,Document download request with sender spoofing detected and high exfiltration score (0.95). DMARC permerror and overall pattern indicate targeted phishing for document theft.
D3462,Malicious,0.88,Email with multiple serious indicators: return path known malicious SMTP IP known malicious high exfiltration score (0.64) URL redirect detected. Coordinated attack from compromised infrastructure.
D3463,No Action,0.82,Email with moderate temp email likelihood (0.22) but very low threat scores throughout. No malicious files no suspicious behaviors two URLs clean. Safe communication despite minor indicators.
D3464,Malicious,0.89,Email with packer detected very high behavioral score (0.84) extremely high exfiltration score (0.99) URL redirect detected and certificate mismatch. Clear indicators of evasive malware with data theft capabilities.
D3465,No Action,0.82,Gift card request but with very low threat scores and no malicious indicators beyond the request type. Four URL redirects concerning but destinations clean. Possible legitimate request.
D3466,No Action,0.86,Meeting request with moderate sender reputation but otherwise clean indicators. Bulk message flag suggests mass mailing but no malicious content detected.
D3467,No Action,0.80,Email with self-signed certificate but minimal other risk indicators. Failed SPF/DKIM but no malicious content or behaviors detected. Likely legitimate but poorly configured sender.
D3468,Malicious,0.92,Severe threat email: high metadata score (0.66) very high exfiltration score (0.93) macro-enabled document detected return path known malicious. Clear malware delivery with data theft capabilities.
D3469,Malicious,0.94,Critical malware threat: DMARC enforced but present high metadata score (0.97) executable attachment detected YARA matches high behavioral score. Four URLs likely C2 communication. Advanced persistent threat.
D3470,No Action,0.83,VPN/MFA reset request with low overall threat scores. Two URLs present but clean failed SPF/DMARC but no malicious content detected. Monitor for potential account compromise attempt.
D3471,No Action,0.88,Clean email with very low threat scores across all metrics. Failed authentication but no malicious indicators. Safe communication.
D3472,Spam,0.76,Meeting request from sender with DMARC enforced but poor reputation. SMTP IP suspicious but no malicious content found. Likely spam meeting invites.
D3473,No Action,0.84,Bank detail update request but with very low threat scores and six clean URLs. No malicious files or behaviors authentication passes. Verify through separate channel but likely legitimate.
D3474,No Action,0.82,Invoice verification with moderate sender reputation but clean content. One URL with very high reputation score (0.78). No malicious indicators beyond sender reputation.
D3475,No Action,0.90,Very clean email with minimal risk indicators. Expired SSL certificate only concern but all other metrics show safe communication.
D3476,Spam,0.79,Bank detail update from known malicious sender and return path. Despite low threat scores the sender reputation indicates spam/phishing attempt.
D3477,Malicious,0.93,Gift card request scam with severe indicators: packer detected high behavioral scores domain known malicious high SMTP IP risk. Classic BEC attack with obfuscated malware.
D3478,Malicious,0.87,Email with multiple risk factors: high exfiltration score (0.42) two embedded files suspicious processes and certificate mismatch. Failed DMARC indicates spoofing attempt with malware.
D3479,Malicious,0.91,Critical threat with macro-enabled document VBScript detected high exfiltration score (0.71) and suspicious processes. Pattern indicates document-based malware with C2 capabilities.
D3480,No Action,0.81,Email with seven clean URLs and self-signed certificate. While certificate concerning all threat scores very low and no malicious content detected. Monitor but likely safe.
D3481,Spam,0.85,Urgent callback request with extremely high temp email likelihood (0.91) and revoked SSL certificate. Pattern strongly indicates spam/scam campaign.
D3482,Spam,0.87,High SMTP IP risk (0.98) with poor sender reputation and failed authentication. Pattern indicates spam from compromised or malicious infrastructure.
