Data ID,Classification,Confidence Score,Detailed Justification
D3912,Malicious,0.89,"Malicious indicators: sender known malicious (1.0), return path mismatch, suspicious attachment metadata (0.05), high sandbox scores (0.48 behavioral), embedded files (4), high exfiltration behavior (0.55), executable processes (winword.exe), wire transfer request, high SMTP IP reputation (0.98)"
D3913,Malicious,0.87,"Malicious classification: sender known malicious (1.0), high domain reputation issues (0.23), suspicious attachment metadata (0.18), elevated sandbox scores (0.48 behavioral), embedded file (1), high exfiltration behavior (0.73), executable processes (winword.exe), document download request, high content spam (0.69)"
D3914,Warning,0.75,"Moderate risk: sender spoofing detected, high domain reputation issues (0.15), URL presence (2), high SMTP IP geo risk (0.59), high site similarity (0.40) warrant monitoring despite other benign characteristics"
D3915,Warning,0.73,"Requires attention: extremely high domain reputation issues (0.97), high temp email likelihood (0.66), sensitive data request type, high content spam score (0.54), failed DMARC, sender reputation concerns warrant monitoring"
D3916,Malicious,0.85,"Malicious classification: sender known malicious (1.0), suspicious attachment metadata (0.24), unscannable attachment present, IOC count (1), high exfiltration behavior (0.20), executable processes (winword.exe), meeting request type, weak TLS version (1.0)"
D3917,Malicious,0.88,"Strong malicious indicators: sender known malicious (1.0), high domain reputation issues (0.09), suspicious attachment metadata (0.14), reply path known malicious, high site similarity (0.30), high URL rendering behavior (0.68), failed DMARC authentication"
D3918,Warning,0.67,"Moderate risk: minimal threat indicators but failed authentication protocols warrant monitoring for potential low-level threats or reconnaissance activity"
D3919,Malicious,0.91,"High-confidence malicious: sender known malicious (1.0), high domain reputation issues (0.38), very high suspicious attachment metadata (0.37), IOC count (2), elevated sandbox scores (0.75 behavioral), high exfiltration behavior (0.81), executable processes (outlook.exe), legal threat request, high HTML ratio (1.1)"
D3920,Malicious,0.83,"Malicious classification: sender known malicious (1.0), suspicious attachment metadata (5.3e-04), embedded file (1), high SMTP IP geo risk (0.68), link click request, expired SSL certificate, failed authentication protocols"
D3921,Warning,0.78,"Requires monitoring: high domain reputation issues (0.08), very high temp email likelihood (0.90), bank detail update request (high-risk BEC), high SMTP IP geo risk (0.58), urgent callback indicator, failed SPF, financial request warrants caution"
D3922,Malicious,0.90,"Strong malicious classification: sender known malicious (1.0), high domain reputation issues (0.13), very high suspicious attachment metadata (0.71), elevated sandbox scores (0.12 behavioral, 0.08 AMSI), high exfiltration behavior (0.15), multiple processes (winword.exe, powershell.exe), VPN/MFA reset request"
D3923,Malicious,0.92,"High-confidence malicious: sender known malicious (1.0), suspicious attachment metadata (0.02), very high exfiltration behavior (0.96), executable processes (winword.exe), multiple URLs (4), wire transfer request, failed authentication protocols, advanced financial fraud"
D3924,Malicious,0.94,"Strong malicious indicators: sender known malicious (1.0), extremely high suspicious attachment metadata (0.81), very high sandbox scores (0.72 behavioral, 0.68 AMSI), high exfiltration behavior (0.89), embedded files (2), executable processes (winword.exe), document download request"
D3925,Warning,0.71,"Moderate risk: marketing keywords detected, high URL rendering behavior score (0.85), authentication concerns warrant monitoring for potential graymail or low-level threats"
D3926,Warning,0.70,"Requires attention: high reply path reputation issues (0.60), high SMTP IP geo risk (0.76), sensitive data request type, authentication failures warrant monitoring despite other benign indicators"
D3927,Malicious,0.87,"Malicious classification: sender known malicious (1.0), very high temp email likelihood (0.90), high reply path reputation (0.70), high exfiltration behavior (0.64), executable processes (winword.exe), meeting request type, self-signed SSL, high site similarity (0.72)"
D3928,Malicious,0.84,"Strong malicious indicators: sender known malicious (1.0), high domain reputation issues (0.31), high temp email likelihood (0.37), DMARC enforced but suspicious attachment metadata (0.09), high exfiltration behavior (0.52), executable processes (winword.exe), expired SSL certificate"
D3929,Warning,0.74,"Moderate risk: high domain reputation issues (0.32), high return path reputation (0.85), high-risk role targeting, high content spam score (0.39), self-signed SSL certificate warrant monitoring despite other benign characteristics"
D3930,Malicious,0.91,"High-confidence malicious: sender known malicious (1.0), high suspicious attachment metadata (0.32), IOC count (4), exploit pattern detected, high exfiltration behavior (0.83), executable processes (outlook.exe), legal threat request, high URL rendering behavior (0.71)"
D3931,Malicious,0.86,"Malicious classification: sender known malicious (1.0), high domain reputation issues (0.54), high exfiltration behavior (0.78), executable processes (acrobat.exe), link click request, failed authentication protocols, consistent threat pattern"
D3932,Warning,0.79,"Requires monitoring: very high domain reputation issues (0.84), DMARC enforced, return path mismatch, bank detail update request (high-risk BEC), high content spam score (0.14), self-signed SSL, QR code analysis positive, enforcement with suspicious characteristics warrant caution"
