Data ID,Classification,Confidence Score,Detailed Justification
D3764,Malicious,0.90,Wire transfer with high metadata score (0.74) very high behavioral sandbox score (0.74) high exfiltration score (0.39) and self-signed certificate. Advanced BEC attack.
D3765,Malicious,0.86,Document download with high temp email likelihood (0.48) high exfiltration score (0.95) reply path known malicious and self-signed certificate. Clear malware delivery.
D3766,Warning,0.73,Email with DMARC enforced high temp email likelihood (0.15) but minimal actual threats. Self-signed certificate requires monitoring.
D3767,Warning,0.76,Sensitive data request with certificate mismatch and QR code detected but minimal threat scores. Requires caution for potential phishing.
D3768,Warning,0.78,Meeting request with high temp email likelihood (0.58) network call on open detected and expired certificate. Suspicious activity requires monitoring.
D3769,Warning,0.74,Email with ActiveX objects detected high URL rendering score (0.77) but minimal other threats. Mixed signals require caution.
D3770,No Action,0.81,Clean email with sender spoofing detected but minimal threat scores and legitimate appearance. One URL clean.
D3771,Malicious,0.89,Legal threat with high metadata score (0.06) malicious attachment count high behavioral sandbox score (0.92) network call on open. Advanced malware delivery.
D3772,Malicious,0.84,Link click with packer detected high metadata score (0.24) ActiveX objects YARA match and expired certificate. Advanced phishing with evasion techniques.
D3773,No Action,0.83,Bank detail update with high sender reputation (0.06) but minimal threat scores and self-signed certificate. Likely legitimate but poorly configured.
D3774,Malicious,0.87,VPN/MFA reset with very high exfiltration score (0.90) unsubscribe link and high HTML text ratio. Clear credential theft attempt with spam indicators.
D3775,Malicious,0.90,Email with malicious file hash high exfiltration score (0.99) dangerous processes and unsubscribe link. Critical malware threat with data theft.
D3776,Spam,0.79,Email with one URL high content spam score (0.49) failed authentication and QR code detected. Pattern indicates spam campaign with visual deception.
D3777,Warning,0.76,Email with return path known malicious URL shortener detected but minimal threat scores. Certificate mismatch requires caution.
D3778,No Action,0.79,Gift card request with high SMTP IP geo (0.76) but minimal threat scores and expired certificate. Likely legitimate misconfigured request.
D3779,No Action,0.82,Meeting request with moderate temp email likelihood (0.14) but minimal threat scores and one URL clean. Appears legitimate.
D3780,No Action,0.80,Clean email with high temp email likelihood (0.60) but minimal threat scores throughout. Legitimate communication.
D3781,Warning,0.77,Email with unscannable attachment ActiveX objects detected high AMSI score (0.51) and domain known malicious. Mixed signals require monitoring.
D3782,Malicious,0.85,Email with high metadata score (0.65) high behavioral sandbox score (0.05) moderate exfiltration score (0.26) and dangerous processes. Clear malware threat.
